0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.06	0
0.08	0
0.08	70.114
0.08	0
0.08	69.2923
0.08	69.751
0.08	0
0.08	0
0.08	63.0355
0.08	63.5209
0.08	67.0398
0.08	73.3378
0.08	0
0.08	72.834
0.08	60.4541
0.08	73.756
0.08	0
0.08	57.2816
0.08	53.3865
0.08	0
0.08	70.0547
0.08	0
0.08	69.0084
0.08	65.2379
0.08	81.9794
0.08	0
0.08	0
0.08	67.2397
0.08	61.1263
0.08	65.9326
0.08	0
0.08	54.4126
0.08	61.6376
